,YEAR,ALARM_DATE,GIS_ACRES,CAUSE,MONTH,DAY,MONTH_NAME
1509,2010,2010-05-12 00:00:00,717.2241,2 - Equipment Use,5,132,May
50,2017,2017-05-12 00:00:00,1730.466,14 - Unknown / Unidentified,5,132,May
1456,2009,2009-05-13 00:00:00,764.4717,5 - Debris,5,133,May
1849,2014,2014-05-13 00:00:00,1331.426,2 - Equipment Use,5,133,May
1807,2014,2014-05-13 00:00:00,631.8137,11 - Powerline,5,133,May
1594,2011,2011-05-14 00:00:00,240.4373,9 - Miscellaneous,5,134,May
1850,2014,2014-05-14 00:00:00,376.9402,14 - Unknown / Unidentified,5,134,May
1847,2014,2014-05-14 00:00:00,1994.787,14 - Unknown / Unidentified,5,134,May
1845,2014,2014-05-14 00:00:00,441.0284,14 - Unknown / Unidentified,5,134,May
1355,2008,2008-05-13 00:00:00,500.3037,14 - Unknown / Unidentified,5,134,May
15,2017,2017-05-15 00:00:00,253.9364,9 - Miscellaneous,5,135,May
932,1970,1970-05-15 00:00:00,707.5339,14 - Unknown / Unidentified,5,135,May
1493,2010,2010-05-15 00:00:00,2037.966,2 - Equipment Use,5,135,May
1494,2010,2010-05-15 00:00:00,947.4343,2 - Equipment Use,5,135,May
1503,2010,2010-05-15 00:00:00,330.066,9 - Miscellaneous,5,135,May
1297,2008,2008-05-15 00:00:00,289.5545,5 - Debris,5,136,May
933,1970,1970-05-17 00:00:00,115.7687,14 - Unknown / Unidentified,5,137,May
1741,2013,2013-05-17 00:00:00,659.6399,3 - Smoking,5,137,May
1533,2011,2011-05-18 00:00:00,730.8424,14 - Unknown / Unidentified,5,138,May
92,2017,2017-05-18 00:00:00,11146.75,2 - Equipment Use,5,138,May
28,2018,2018-05-20 00:00:00,189.5374,11 - Powerline,5,140,May
69,2017,2017-05-20 00:00:00,449.7781,14 - Unknown / Unidentified,5,140,May
42,2017,2017-05-20 00:00:00,1912.906,9 - Miscellaneous,5,140,May
943,1973,1973-05-20 00:00:00,251.9742,4 - Campfire,5,140,May
1036,1997,1997-05-21 00:00:00,470.6738,5 - Debris,5,141,May
1535,2011,2011-05-21 00:00:00,217.4034,9 - Miscellaneous,5,141,May
1529,2011,2011-05-21 00:00:00,104.6856,9 - Miscellaneous,5,141,May
1754,2013,2013-05-22 00:00:00,325.2898,14 - Unknown / Unidentified,5,142,May
1336,2008,2008-05-21 00:00:00,4174.505,5 - Debris,5,142,May
1543,2011,2011-05-22 00:00:00,209.7798,2 - Equipment Use,5,142,May
1756,2013,2013-05-23 00:00:00,2780.291,18 - Escaped Prescribed Burn,5,143,May
1452,2009,2009-05-24 00:00:00,423.2517,5 - Debris,5,144,May
1440,2009,2009-05-24 00:00:00,106.1154,14 - Unknown / Unidentified,5,144,May
2001,2016,2016-05-23 00:00:00,155.913,2 - Equipment Use,5,144,May
1484,2009,2009-05-24 00:00:00,450.7557,14 - Unknown / Unidentified,5,144,May
1547,2011,2011-05-25 00:00:00,206.3687,4 - Campfire,5,145,May
1262,2007,2007-05-25 00:00:00,193.511,9 - Miscellaneous,5,145,May
29,2017,2017-05-25 00:00:00,193.6728,14 - Unknown / Unidentified,5,145,May
1766,2013,2013-05-25 00:00:00,126.6421,9 - Miscellaneous,5,145,May
1129,2006,2006-05-26 00:00:00,779.9976,2 - Equipment Use,5,146,May
1804,2014,2014-05-26 00:00:00,690.982,14 - Unknown / Unidentified,5,146,May
1428,2009,2009-05-26 00:00:00,168.5915,2 - Equipment Use,5,146,May
1757,2013,2013-05-26 00:00:00,1270.866,9 - Miscellaneous,5,146,May
1747,2013,2013-05-27 00:00:00,1912.05,4 - Campfire,5,147,May
1615,2011,2011-05-27 00:00:00,1121.373,9 - Miscellaneous,5,147,May
1476,2009,2009-05-28 00:00:00,294.5972,1 - Lightning,5,148,May
1576,2011,2011-05-28 00:00:00,241.0146,10 - Vehicle,5,148,May
1693,2012,2012-05-27 00:00:00,256.1035,14 - Unknown / Unidentified,5,148,May
1743,2013,2013-05-28 00:00:00,145.1069,2 - Equipment Use,5,148,May
1527,2011,2011-05-29 00:00:00,384.795,11 - Powerline,5,149,May
1530,2011,2011-05-29 00:00:00,138.5002,9 - Miscellaneous,5,149,May
1103,2006,2006-05-29 00:00:00,932.2057,9 - Miscellaneous,5,149,May
1479,2009,2009-05-30 00:00:00,3039.926,1 - Lightning,5,150,May
1784,2013,2013-05-30 00:00:00,236.6837,2 - Equipment Use,5,150,May
1721,2013,2013-05-30 00:00:00,30267.69,9 - Miscellaneous,5,150,May
1974,2016,2016-05-30 00:00:00,229.7579,9 - Miscellaneous,5,151,May
1426,2009,2009-05-31 00:00:00,353.0028,10 - Vehicle,5,151,May
1524,2011,2011-06-01 00:00:00,143.4112,14 - Unknown / Unidentified,6,152,Jun
1744,2013,2013-06-01 00:00:00,489.5211,9 - Miscellaneous,6,152,Jun
